#fy4lon fy4lat fy4clm fy4snc fy3lon fy3lat dist fy3val outtype 
78.0636 32.9855 0 25 78.0448 32.9662 0.0269295 0 25 
80.6555 32.8766 1 25 80.6729 32.9831 0.107861 -500 25 
83.1625 32.7813 0 25 83.0641 32.838 0.11358 -999 25 
85.5988 32.6981 0 25 85.673 32.604 0.119851 -999 25 
87.9762 32.6262 0 25 88.0089 32.7456 0.123765 -999 25 
90.3046 32.5648 0 200 90.3501 32.5254 0.0601185 0 200 
92.5927 32.5131 0 25 92.682 32.4574 0.105222 7 25 
94.8481 32.4708 0 200 94.7927 32.5631 0.107655 9 200 
97.0777 32.4374 0 25 97.1395 32.5516 0.12984 5 25 
99.2877 32.4127 0 200 99.2515 32.4762 0.0731583 5 200 
101.484 32.3964 0 200 101.356 32.3152 0.152121 0 200 
103.673 32.3884 0 25 103.726 32.2588 0.140246 0 25 
105.859 32.3887 0 25 105.929 32.4124 0.0747264 -500 25 
108.047 32.3972 0 25 108.14 32.4721 0.119155 -999 25 
110.244 32.414 0 50 110.351 32.4375 0.109613 -999 50 
112.455 32.4392 0 25 112.342 32.4072 0.117791 -999 25 
114.686 32.4731 0 25 114.637 32.4281 0.0669795 -999 25 
116.944 32.516 0 25 117.035 32.5768 0.109861 0 25 
119.234 32.5682 0 25 119.123 32.516 0.122907 0 25 
121.565 32.6302 0 39 121.646 32.6763 0.0930535 1014 201 
123.946 32.7028 0 39 123.852 32.6449 0.109906 1014 201 
126.386 32.7866 0 39 126.518 32.7823 0.132654 1014 201 
128.897 32.8828 0 39 129.008 32.9452 0.127278 1014 201 
131.495 32.9925 0 25 131.507 32.9894 0.0120692 -500 25 
134.196 33.1173 1 39 134.167 33.0989 0.0340323 -999 39 
137.023 33.2594 1 39 137.004 33.2486 0.0218826 -999 39 
140.005 33.4216 0 39 140.028 33.4103 0.0255302 -999 39 
143.182 33.6077 0 39 143.249 33.5521 0.0867643 1014 201 
146.611 33.8232 0 39 146.541 33.8523 0.0759106 1014 201 
150.379 34.0765 0 39 150.388 33.981 0.0960138 1014 201 
154.629 34.3815 0 39 154.562 34.2837 0.11818 1014 201 
159.634 34.7643 0 39 159.572 34.8614 0.115129 -999 39 
166.065 35.2888 0 39 166.053 35.3575 0.0696734 1014 201 
177.565 36.2962 2 39 177.64 36.2975 0.07475 1014 201 
41.0313 32.9684 0 25 41.1749 32.9662 0.143575 1012 201 
47.8963 32.4346 0 25 47.9695 32.4762 0.0841768 0 25 
53.0666 32.0572 0 25 53.0605 32.1149 0.058053 0 25 
57.3976 31.7599 1 25 57.4934 31.7747 0.0969525 -999 25 
61.2082 31.5143 0 25 61.1238 31.4895 0.0879173 -999 25 
64.6588 31.3057 0 25 64.6103 31.1814 0.133415 -999 25 
67.8438 31.1257 3 25 -999 -999 -999 -999 25 
70.8243 30.9687 3 25 -999 -999 -999 -999 25 
73.6427 30.8308 0 25 73.5078 30.8846 0.145305 1012 201 
76.3298 30.7093 0 25 76.3763 30.6914 0.0499018 0 25 
78.9088 30.602 0 25 78.9564 30.5405 0.0777227 0 25 
81.3982 30.5075 0 200 81.486 30.5139 0.0880618 -999 200 
83.8125 30.4244 0 25 83.7844 30.3316 0.0970163 -999 25 
86.164 30.3518 0 25 86.2759 30.3203 0.116281 -999 25 
88.4627 30.2889 0 25 88.537 30.1782 0.133269 -999 25 
90.7175 30.235 0 25 90.7879 30.1935 0.0817643 0 25 
92.9358 30.1897 0 50 93.0364 30.1067 0.130423 0 50 
95.1246 30.1525 0 200 95.0721 30.2007 0.0712125 0 200 
97.29 30.1232 0 50 97.3344 30.1782 0.0706727 3 50 
99.4377 30.1014 0 200 99.3699 30.0955 0.0679891 8 200 
101.573 30.0871 0 50 101.663 30.1322 0.100535 0 50 
103.701 30.0801 0 25 103.736 30.1251 0.0572054 0 25 
105.827 30.0803 0 200 105.807 30.0312 0.0530504 0 200 
107.955 30.0878 0 50 107.937 30.0985 0.0206005 -999 50 
110.091 30.1025 0 25 110.069 30.074 0.0355805 -999 25 
112.239 30.1247 0 25 112.282 30.1986 0.0853956 -999 25 
114.406 30.1545 0 25 114.5 30.2242 0.116886 -999 25 
116.596 30.1922 1 25 116.515 30.2671 0.110888 0 25 
118.817 30.238 3 25 -999 -999 -999 -999 25 
121.074 30.2924 0 39 121.157 30.2876 0.0833223 1012 201 
123.376 30.3559 0 39 123.284 30.2784 0.120128 1014 201 
125.73 30.4291 0 39 125.853 30.4493 0.124149 1014 201 
128.149 30.5128 0 39 128.113 30.4442 0.0775554 1014 201 
130.643 30.6081 0 39 130.663 30.7314 0.124899 1014 201 
133.228 30.7161 3 39 -999 -999 -999 -999 39 
135.922 30.8386 0 39 135.963 30.7263 0.119351 -999 39 
138.75 30.9775 0 39 138.868 30.9536 0.120476 -999 39 
141.741 31.1358 0 39 141.644 31.2155 0.125755 1014 201 
144.94 31.3174 0 39 144.942 31.4119 0.0945213 1014 201 
148.409 31.5278 0 39 148.445 31.5288 0.0360551 1014 201 
152.245 31.7761 0 39 152.247 31.8744 0.098341 1014 201 
156.615 32.0771 0 39 156.497 32.143 0.135688 1014 201 
161.854 32.461 0 39 161.86 32.4721 0.0127859 -999 39 
168.884 33.0097 0 39 169.012 32.9189 0.15771 1014 201 
37.3344 30.8172 0 25 37.2566 30.8733 0.0959873 -999 25 
45.2755 30.2263 0 25 45.1592 30.1843 0.123688 1012 201 
50.8187 29.839 0 25 50.8681 29.8355 0.0495994 1012 201 
55.3412 29.5416 0 25 55.2908 29.4747 0.0838099 0 25 
59.2655 29.2986 0 39 59.3033 29.3935 0.102106 -999 39 
62.7882 29.0937 3 25 -999 -999 -999 -999 25 
66.0199 28.9173 3 25 -999 -999 -999 -999 25 
69.0301 28.7635 3 25 -999 -999 -999 -999 25 
71.8659 28.6285 3 25 -999 -999 -999 -999 25 
74.5613 28.5092 3 25 -999 -999 -999 -999 25 
77.1414 28.4037 3 25 -999 -999 -999 -999 25 
79.6259 28.3102 3 25 -999 -999 -999 -999 25 
82.0302 28.2276 0 25 81.9936 28.2249 0.036755 -999 25 
84.3671 28.1548 1 25 84.4305 28.0446 0.127117 -999 25 
86.6472 28.0911 0 200 86.6207 27.9875 0.106899 -999 200 
88.8794 28.0358 0 25 88.7997 28.0927 0.0979159 -999 25 
91.0715 27.9884 0 200 90.9821 28.0977 0.141184 -500 200 
93.2304 27.9485 0 25 93.1617 28.0026 0.0874516 0 25 
95.3623 27.9157 3 25 -999 -999 -999 -999 25 
97.4726 27.8898 0 200 97.5157 27.7746 0.123011 0 200 
99.5667 27.8706 0 25 99.516 27.9445 0.0895827 0 25 
101.649 27.858 0 50 101.693 27.7187 0.145969 0 50 
103.725 27.8518 0 50 103.746 27.9675 0.117534 0 50 
105.799 27.852 0 25 105.751 27.8735 0.0525913 0 25 
107.875 27.8586 0 25 107.815 27.9455 0.105765 -999 25 
109.959 27.8716 0 25 109.881 27.9275 0.0957995 -999 25 
